Country,League,Season,Date,Homeoraway,Team,HTTeamGoals,TeamGoals,TeamShots,TeamShotsOnTarget,TeamFouls,TeamCorners,TeamYellow,TeamRed,Opponent,HTOpponentGoals,OpponentGoals,OpponentShots,OpponentShotOnTarget,OpponentFouls,OpponentCorners,OpponentYellow,OpponentRed,FavouriteResult,HTResult,Result,TotalGoals,TeamOdds,DrawOdds,OpponentOdds,OddsOver2.5Goals,OddsUnder2.5Goals,FavouriteOU2.5,ResultBetWin,ResultBetDraw,ResultBetLose,ResultBetOver2.5,ResultBetUnder2.5
ENGLAND,PREM,15/16,06/03/16,Away,Liverpool,0,2,19,5,16,6,2,1,Crystal Palace,0,1,14,4,12,6,1,0,Favourite,Draw,Win,3,2.1,3.5,3.8,2.07,1.74,FavUnder,1.1,-1,-1,1.07,-1
ENGLAND,PREM,15/16,12/03/16,Away,Man City,0,0,15,3,10,8,1,0,Norwich,0,0,5,0,15,3,3,0,Favourite,Draw,Draw,0,1.6,4.2,6,1.79,2.01,FavOver,-1,3.2,-1,-1,1.01
ENGLAND,PREM,15/16,12/03/16,Away,Southampton,2,2,11,4,12,4,2,1,Stoke,0,1,13,2,13,1,1,0,NotFavourite,Win,Win,3,2.9,3.2,2.7,2.37,1.57,FavUnder,1.9,-1,-1,1.37,-1
ENGLAND,PREM,15/16,13/03/16,Away,Tottenham,1,2,19,8,6,8,0,0,Aston Villa,0,0,11,2,6,5,0,0,Favourite,Win,Win,2,1.5,4.5,7.5,1.9,1.89,FavUnder,0.5,-1,-1,-1,0.89
ENGLAND,PREM,15/16,19/03/16,Away,West Ham,1,2,13,6,14,9,5,0,Chelsea,1,2,22,5,13,10,3,0,NotFavourite,Draw,Draw,4,5.25,3.8,1.75,1.83,1.97,FavOver,-1,2.8,-1,0.83,-1
ENGLAND,PREM,15/16,19/03/16,Away,Leicester,1,1,8,3,13,7,1,0,Crystal Palace,0,0,12,4,9,10,1,0,Favourite,Win,Win,1,2.5,3.4,3,2.14,1.7,FavUnder,1.5,-1,-1,-1,0.7
ENGLAND,PREM,15/16,19/03/16,Away,Arsenal,2,2,11,3,10,5,0,0,Everton,0,0,8,2,7,7,0,0,NotFavourite,Win,Win,2,2.7,3.5,2.7,1.7,2.14,FavOver,1.7,-1,-1,-1,1.14
ENGLAND,PREM,15/16,19/03/16,Away,Stoke,1,2,9,6,14,2,1,0,Watford,0,1,9,4,10,9,3,0,NotFavourite,Win,Win,3,3.3,3.25,2.4,2.37,1.58,FavUnder,2.3,-1,-1,1.37,-1
ENGLAND,PREM,15/16,19/03/16,Away,Norwich,0,1,7,1,13,3,2,0,West Brom,0,0,10,0,8,4,1,0,NotFavourite,Draw,Win,1,3.6,3.3,2.25,2.35,1.58,FavUnder,2.6,-1,-1,-1,0.58
ENGLAND,PREM,15/16,20/03/16,Away,Man United,1,1,5,3,12,5,1,0,Man City,0,0,26,2,9,11,1,0,NotFavourite,Win,Win,1,4.75,3.75,1.83,1.93,1.86,FavUnder,3.75,-1,-1,-1,0.86
