in,AwayTeam,HomeTeam,AwayOdds,HomeOdds,AwayScore,HomeScore
AFkZXVIK,Chicago Bulls,Charlotte Hornets,1.83,2.04,108,91
GhjVYB3E,San Antonio Spurs,Detroit Pistons,1.32,3.59,106,91
C8XnCld1,Boston Celtics,Phoenix Suns,2.24,1.74,99,86
x2iRZil8,Milwaukee Bucks,Philadelphia 76ers,1.38,3.18,124,117
jaWjB8B7,Orlando Magic,New Orleans Pelicans,4.77,1.21,100,135
MJvzFjCr,Los Angeles Clippers,Memphis Grizzlies,2.54,1.55,117,105
4rUvEARl,Portland Trail Blazers,Denver Nuggets,2.06,1.81,105,106
IoYrDUte,Sacramento Kings,Minnesota Timberwolves,1.68,2.26,128,125
pfqiqunH,Dallas Mavericks,Detroit Pistons,1.16,5.62,127,117
pfH6WIsG,San Antonio Spurs,Miami Heat,2.04,1.83,87,107
GKC2XbS9,Houston Rockets,Utah Jazz,5.97,1.15,89,112
xUDbYvD3,New York Knicks,Atlanta Hawks,2.04,1.83,137,127
jyY3Ccjp,Cleveland Cavaliers,Chicago Bulls,2.11,1.77,121,105
URW7BH5j,Indiana Pacers,Oklahoma City Thunder,1.26,4.11,122,116
rVKkz1ri,Philadelphia 76ers,Phoenix Suns,2.24,1.7,113,116
plzJJZb3,Toronto Raptors,Brooklyn Nets,1.56,2.54,114,103
f5OgZKcc,Washington Wizards,Golden State Warriors,2.09,1.79,118,114
WjiXHJSM,Portland Trail Blazers,Los Angeles Clippers,2.75,1.49,112,113
AsjyHwrT,Sacramento Kings,Minnesota Timberwolves,1.64,2.35,120,134
2BaGL1Tc,Atlanta Hawks,Orlando Magic,1.12,6.89,112,96
OQmPJubA,New Orleans Pelicans,Brooklyn Nets,1.69,2.24,129,134
t2bKKLr4,New York Knicks,Charlotte Hornets,1.5,2.7,109,97
fo0CMsEi,Los Angeles Lakers,Utah Jazz,3.18,1.39,97,111
Gf18NNbo,Denver Nuggets,Memphis Grizzlies,1.31,3.6,139,137
OtnB5Sbl,Indiana Pacers,San Antonio Spurs,2.36,1.63,94,109
tvpdKiXN,Miami Heat,Houston Rockets,1.5,2.7,113,91
CMzSEVfo,Milwaukee Bucks,Phoenix Suns,1.7,2.24,127,128
z1q0JBnU,Washington Wizards,Oklahoma City Thunder,1.12,6.99,119,107
pCjmMD2B,Boston Celtics,Chicago Bulls,1.52,2.64,96,102
2mohLXHH,Philadelphia 76ers,Golden State Warriors,1.5,2.69,96,107
6LiqNgm5,Detroit Pistons,Cleveland Cavaliers,2.35,1.64,109,105
