Country,League,Season,Date,Homeoraway,Team,TeamGoals,Opponent,OpponentGoals,Favourite,Result,TotalGoals,TeamOdds,DrawOdds,OpponentOdds,ResultBetWin,ResultBetDraw,ResultBetLose
SPAIN,LALIGA,20/21,2021/05/16,Away,Sevilla,0,Villarreal,4,NotFavourite,Lose,4,2.87,3.4,2.37,-1,-1,1.37
SPAIN,LALIGA,20/21,2021/05/16,Home,Cadiz,1,Elche,3,NotFavourite,Lose,4,3.2,3.1,2.35,-1,-1,1.35
SPAIN,LALIGA,20/21,2021/05/16,Away,Granada,2,Alaves,4,NotFavourite,Lose,6,4,3.75,1.83,-1,-1,0.83
SPAIN,LALIGA,20/21,2021/05/16,Away,Huesca,0,Betis,1,NotFavourite,Lose,1,4.33,3.8,1.75,-1,-1,0.75
SPAIN,LALIGA,20/21,2021/05/16,Away,Levante,1,Getafe,2,NotFavourite,Lose,3,5.75,3.8,1.61,-1,-1,0.61
SPAIN,LALIGA,20/21,2021/05/16,Away,Valladolid,1,Sociedad,4,NotFavourite,Lose,5,6,3.75,1.61,-1,-1,0.61
SPAIN,LALIGA,20/21,2021/05/16,Home,Ath Bilbao,0,Real Madrid,1,NotFavourite,Lose,1,5,4.2,1.6,-1,-1,0.6
SPAIN,LALIGA,20/21,2021/05/16,Away,Osasuna,1,Ath Madrid,2,NotFavourite,Lose,3,15,5.75,1.22,-1,-1,0.22
SPAIN,LALIGA,20/21,2021/05/16,Home,Alaves,4,Granada,2,Favourite,Win,6,1.83,3.75,4,0.83,-1,-1
SPAIN,LALIGA,20/21,2021/05/16,Home,Ath Madrid,2,Osasuna,1,Favourite,Win,3,1.22,5.75,15,0.22,-1,-1
SPAIN,LALIGA,20/21,2021/05/16,Home,Betis,1,Huesca,0,Favourite,Win,1,1.75,3.8,4.33,0.75,-1,-1
SPAIN,LALIGA,20/21,2021/05/16,Home,Getafe,2,Levante,1,Favourite,Win,3,1.61,3.8,5.75,0.61,-1,-1
SPAIN,LALIGA,20/21,2021/05/16,Home,Sociedad,4,Valladolid,1,Favourite,Win,5,1.61,3.75,6,0.61,-1,-1
SPAIN,LALIGA,20/21,2021/05/16,Home,Valencia,4,Eibar,1,NotFavourite,Win,5,2.87,3.4,2.37,1.87,-1,-1
SPAIN,LALIGA,20/21,2021/05/16,Home,Villarreal,4,Sevilla,0,Favourite,Win,4,2.37,3.4,2.87,1.37,-1,-1
SPAIN,LALIGA,20/21,2021/05/16,Away,Real Madrid,1,Ath Bilbao,0,Favourite,Win,1,1.6,4.2,5,0.6,-1,-1
SPAIN,LALIGA,20/21,2021/05/16,Away,Celta,2,Barcelona,1,NotFavourite,Win,3,11,7.5,1.2,10,-1,-1
SPAIN,LALIGA,20/21,2021/05/16,Away,Elche,3,Cadiz,1,Favourite,Win,4,2.35,3.1,3.2,1.35,-1,-1
GERMANY,BUND,20/21,2021/05/16,Home,Mainz,1,Dortmund,3,NotFavourite,Lose,4,6,5,1.44,-1,-1,0.44
GERMANY,BUND,20/21,2021/05/16,Home,RB Leipzig,2,Wolfsburg,2,Favourite,Draw,4,2.1,3.5,3.4,-1,2.5,-1
GERMANY,BUND,20/21,2021/05/16,Away,Dortmund,3,Mainz,1,Favourite,Win,4,1.44,5,6,0.44,-1,-1
GERMANY,BUND,20/21,2021/05/16,Away,Wolfsburg,2,RB Leipzig,2,NotFavourite,Draw,4,3.4,3.5,2.1,-1,2.5,-1
ENGLAND,PREM,20/21,2021/05/15,Home,Burnley,0,Leeds,4,NotFavourite,Lose,4,3.2,3.75,2.1,-1,-1,1.1
ENGLAND,PREM,20/21,2021/05/15,Away,Fulham,1,Southampton,3,NotFavourite,Lose,4,3.6,3.6,2,-1,-1,1
ENGLAND,PREM,20/21,2021/05/15,Home,Southampton,3,Fulham,1,Favourite,Win,4,2,3.6,3.6,1,-1,-1
ENGLAND,PREM,20/21,2021/05/15,Home,Brighton,1,West Ham,1,NotFavourite,Draw,2,2.9,3.6,2.3,-1,2.6,-1
ENGLAND,PREM,20/21,2021/05/15,Away,Leeds,4,Burnley,0,Favourite,Win,4,2.1,3.75,3.2,1.1,-1,-1
ENGLAND,PREM,20/21,2021/05/15,Away,West Ham,1,Brighton,1,Favourite,Draw,2,2.3,3.6,2.9,-1,2.6,-1
GERMANY,BUND,20/21,2021/05/15,Away,Ein Frankfurt,3,Schalke 04,4,Favourite,Lose,7,1.2,7,13,-1,-1,12
GERMANY,BUND,20/21,2021/05/15,Home,M'gladbach,1,Stuttgart,2,Favourite,Lose,3,1.6,4.5,4.75,-1,-1,3.75
GERMANY,BUND,20/21,2021/05/15,Away,Werder Bremen,0,Augsburg,2,NotFavourite,Lose,2,3,3.25,2.45,-1,-1,1.45
GERMANY,BUND,20/21,2021/05/15,Home,Augsburg,2,Werder Bremen,0,Favourite,Win,2,2.45,3.25,3,1.45,-1,-1
GERMANY,BUND,20/21,2021/05/15,Home,Bielefeld,1,Hoffenheim,1,NotFavourite,Draw,2,2.62,3.75,2.4,-1,2.75,-1
GERMANY,BUND,20/21,2021/05/15,Home,Freiburg,2,Bayern Munich,2,NotFavourite,Draw,4,10,5.25,1.3,-1,4.25,-1
GERMANY,BUND,20/21,2021/05/15,Home,Hertha,0,FC Koln,0,Favourite,Draw,0,2.5,3.4,2.8,-1,2.4,-1
GERMANY,BUND,20/21,2021/05/15,Home,Leverkusen,1,Union Berlin,1,Favourite,Draw,2,1.83,3.8,3.9,-1,2.8,-1
GERMANY,BUND,20/21,2021/05/15,Home,Schalke 04,4,Ein Frankfurt,3,NotFavourite,Win,7,13,7,1.2,12,-1,-1
GERMANY,BUND,20/21,2021/05/15,Away,Hoffenheim,1,Bielefeld,1,Favourite,Draw,2,2.4,3.75,2.62,-1,2.75,-1
GERMANY,BUND,20/21,2021/05/15,Away,Bayern Munich,2,Freiburg,2,Favourite,Draw,4,1.3,5.25,10,-1,4.25,-1
GERMANY,BUND,20/21,2021/05/15,Away,FC Koln,0,Hertha,0,NotFavourite,Draw,0,2.8,3.4,2.5,-1,2.4,-1
GERMANY,BUND,20/21,2021/05/15,Away,Union Berlin,1,Leverkusen,1,NotFavourite,Draw,2,3.9,3.8,1.83,-1,2.8,-1
GERMANY,BUND,20/21,2021/05/15,Away,Stuttgart,2,M'gladbach,1,NotFavourite,Win,3,4.75,4.5,1.6,3.75,-1,-1
ENGLAND,PREM,20/21,2021/05/14,Home,Newcastle,3,Man City,4,NotFavourite,Lose,7,11,6,1.25,-1,-1,0.25
ENGLAND,PREM,20/21,2021/05/14,Away,Man City,4,Newcastle,3,Favourite,Win,7,1.25,6,11,0.25,-1,-1
ENGLAND,PREM,20/21,2021/05/13,Home,Man United,2,Liverpool,4,NotFavourite,Lose,6,3,3.75,2.2,-1,-1,1.2
ENGLAND,PREM,20/21,2021/05/13,Home,Aston Villa,0,Everton,0,NotFavourite,Draw,0,2.7,3.4,2.6,-1,2.4,-1
ENGLAND,PREM,20/21,2021/05/13,Away,Everton,0,Aston Villa,0,Favourite,Draw,0,2.6,3.4,2.7,-1,2.4,-1
ENGLAND,PREM,20/21,2021/05/13,Away,Liverpool,4,Man United,2,Favourite,Win,6,2.2,3.75,3,1.2,-1,-1
