Country,League,Season,Date,Team,Homeoraway,TeamOdds,TeamScore,Opponent,OpponentOdds,OpponentScore,Result,Favourite,TotalScorePred,TotalScore,ResultBetWin,ResultBetLose,TotalfromPred,TeamWinPred,TeamScorePred,ScoredfromPred,OpponentWinPred,OpponentScorePred,ReceivedfromPred
USA,NBA,20/21,2020/12/26,San Antonio Spurs,Home,2.17,119,Toronto Raptors,1.73,114,Win,NotFavourite,227,233,1.17,-1,6,63%,116,3,37%,111,3
USA,NBA,20/21,2020/12/27,Boston Celtics,Away,1.69,107,Indiana Pacers,2.23,108,Lose,Favourite,223,215,-1,1.23,-8,39%,109,-2,61%,114,-6
USA,NBA,20/21,2020/12/27,Brooklyn Nets,Away,1.16,104,Charlotte Hornets,5.59,106,Lose,Favourite,222,210,-1,4.59,-12,72%,115,-11,28%,107,-1
USA,NBA,20/21,2020/12/27,Dallas Mavericks,Away,2.32,124,Los Angeles Clippers,1.65,73,Win,NotFavourite,230,197,1.32,-1,-33,22%,110,14,78%,120,-47
USA,NBA,20/21,2020/12/27,Golden State Warriors,Away,1.61,129,Chicago Bulls,2.4,128,Win,Favourite,222,257,0.61,-1,35,41%,109,20,59%,113,15
USA,NBA,20/21,2020/12/27,Milwaukee Bucks,Away,1.1,110,New York Knicks,7.66,130,Lose,Favourite,225,240,-1,6.66,15,79%,118,-8,21%,107,23
USA,NBA,20/21,2020/12/27,Minnesota Timberwolves,Away,4.96,91,Los Angeles Lakers,1.19,127,Lose,NotFavourite,227,218,-1,0.19,-9,37%,111,-20,63%,116,11
USA,NBA,20/21,2020/12/27,Orlando Magic,Away,1.79,120,Washington Wizards,2.08,113,Win,Favourite,231,233,0.79,-1,2,61%,118,2,39%,113,0
USA,NBA,20/21,2020/12/27,Philadelphia 76ers,Away,1.39,94,Cleveland Cavaliers,3.11,118,Lose,Favourite,225,212,-1,2.11,-13,57%,114,-20,43%,111,7
USA,NBA,20/21,2020/12/27,Phoenix Suns,Away,1.65,116,Sacramento Kings,2.31,100,Win,Favourite,224,216,0.65,-1,-8,48%,111,5,52%,113,-13
USA,NBA,20/21,2020/12/27,San Antonio Spurs,Away,2.71,95,New Orleans Pelicans,1.49,98,Lose,NotFavourite,231,193,-1,0.49,-38,48%,115,-20,52%,116,-18
USA,NBA,20/21,2020/12/27,Indiana Pacers,Home,2.23,108,Boston Celtics,1.69,107,Win,NotFavourite,223,215,1.23,-1,-8,61%,114,-6,39%,109,-2
USA,NBA,20/21,2020/12/27,Charlotte Hornets,Home,5.59,106,Brooklyn Nets,1.16,104,Win,NotFavourite,222,210,4.59,-1,-12,28%,107,-1,72%,115,-11
USA,NBA,20/21,2020/12/27,Los Angeles Clippers,Home,1.65,73,Dallas Mavericks,2.32,124,Lose,Favourite,230,197,-1,1.32,-33,78%,120,-47,22%,110,14
USA,NBA,20/21,2020/12/27,Chicago Bulls,Home,2.4,128,Golden State Warriors,1.61,129,Lose,NotFavourite,222,257,-1,0.61,35,59%,113,15,41%,109,20
USA,NBA,20/21,2020/12/27,New York Knicks,Home,7.66,130,Milwaukee Bucks,1.1,110,Win,NotFavourite,225,240,6.66,-1,15,21%,107,23,79%,118,-8
USA,NBA,20/21,2020/12/27,Los Angeles Lakers,Home,1.19,127,Minnesota Timberwolves,4.96,91,Win,Favourite,227,218,0.19,-1,-9,63%,116,11,37%,111,-20
USA,NBA,20/21,2020/12/27,Washington Wizards,Home,2.08,113,Orlando Magic,1.79,120,Lose,NotFavourite,231,233,-1,0.79,2,39%,113,0,61%,118,2
USA,NBA,20/21,2020/12/27,Cleveland Cavaliers,Home,3.11,118,Philadelphia 76ers,1.39,94,Win,NotFavourite,225,212,2.11,-1,-13,43%,111,7,57%,114,-20
USA,NBA,20/21,2020/12/27,Sacramento Kings,Home,2.31,100,Phoenix Suns,1.65,116,Lose,NotFavourite,224,216,-1,0.65,-8,52%,113,-13,48%,111,5
USA,NBA,20/21,2020/12/27,New Orleans Pelicans,Home,1.49,98,San Antonio Spurs,2.71,95,Win,Favourite,231,193,0.49,-1,-38,52%,116,-18,48%,115,-20
USA,NBA,20/21,2020/12/28,Detroit Pistons,Away,4.92,120,Atlanta Hawks,1.19,128,Lose,NotFavourite,226,248,-1,0.19,22,28%,109,11,72%,117,11
USA,NBA,20/21,2020/12/28,Houston Rockets,Away,3.15,111,Denver Nuggets,1.38,124,Lose,NotFavourite,231,235,-1,0.38,4,50%,116,-5,50%,115,9
USA,NBA,20/21,2020/12/28,Memphis Grizzlies,Away,1.75,116,Brooklyn Nets,2.13,111,Win,Favourite,230,227,0.75,-1,-3,21%,110,6,79%,120,-9
USA,NBA,20/21,2020/12/28,Portland Trail Blazers,Away,3,115,Los Angeles Lakers,1.42,107,Win,NotFavourite,234,222,2,-1,-12,27%,113,2,73%,121,-14
USA,NBA,20/21,2020/12/28,Utah Jazz,Away,1.24,110,Oklahoma City Thunder,4.18,109,Win,Favourite,221,219,0.24,-1,-2,51%,111,-1,49%,110,-1
USA,NBA,20/21,2020/12/28,Atlanta Hawks,Home,1.19,128,Detroit Pistons,4.92,120,Win,Favourite,226,248,0.19,-1,22,72%,117,11,28%,109,11
USA,NBA,20/21,2020/12/28,Denver Nuggets,Home,1.38,124,Houston Rockets,3.15,111,Win,Favourite,231,235,0.38,-1,4,50%,115,9,50%,116,-5
